phrase,count,POS,case,number,gender,person,animacy,wordCount
критерий построения узлов графа,1,phrase,None,None,None,None,None,4
цвет вершин,1,phrase,None,None,None,None,None,2
параметры пользователя,1,phrase,None,None,None,None,None,2
невзвешенный граф,1,phrase,None,None,None,None,None,2
ключевые слово,1,phrase,None,None,None,None,None,2
данная анимация,1,phrase,None,None,None,None,None,2
группировка слов,1,phrase,None,None,None,None,None,2
экран,1,NOUN,accs,sing,masc,None,inan,1
фраза,1,NOUN,nomn,sing,femn,None,inan,1
узлы,1,NOUN,nomn,plur,masc,None,inan,1
род,1,NOUN,nomn,sing,masc,None,inan,1
результат,1,NOUN,nomn,sing,masc,None,inan,1
построение,1,NOUN,nomn,sing,neut,None,inan,1
вершина,1,NOUN,nomn,sing,femn,None,inan,1
