phrase,count,POS,case,number,gender,person
случай,3,NOUN,nomn,sing,masc,None
инструкция,3,NOUN,nomn,sing,femn,None
подходящий случай,2,phrase,,,,
блок switch,2,phrase,,,,
умолчание,2,NOUN,nomn,sing,neut,None
случаи,2,NOUN,nomn,plur,masc,None
значение,2,NOUN,accs,sing,neut,None
опциональная инструкция break,1,phrase,,,,
значение искомого выражения,1,phrase,,,,
строгое сравнение,1,phrase,,,,
строгий правило,1,phrase,,,,
соответствующие случай,1,phrase,,,,
случай default,1,phrase,,,,
следующая инструкция,1,phrase,,,,
первый случай,1,phrase,,,,
какое-то случай,1,phrase,,,,
соглашение,1,NOUN,nomn,sing,neut,None
программа,1,NOUN,nomn,sing,femn,None
выход,1,NOUN,accs,sing,masc,None
выражение,1,NOUN,accs,sing,neut,None
