phrase,count
полное право,2
така€ обдристанный автовладелец,1
кака€-то переходна€ стади€,1
управл€юща€ компани€,1
три раза,1
правило парковки,1
последний раз,1
обдристанный мудак,1
нецензурна€ брань,1
кака€ скреп,1
группа соседей,1
всЄ подъезд,1
все насрать,1
штраф,1
штаны,1
шматок,1
человек,1
соседи,1
случай,1
рука,1
полици€,1
подъезд,1
повозка,1
пластинка,1
ответ,1
опыты,1
окошко,1
окно,1
наука,1
мужчина,1
мозг,1
машина,1
кухн€,1
камень,1
иркутск,1
ирина,1
им€,1
жильцов,1
жизнь,1
деньга,1
дело,1
дегенерат,1
дворы,1
двор,1
дверь,1
говно,1
ген,1
газончик,1
встреча,1
